Irradiances,Clear Sky,Clear Sky,Clear Sky,Total,Clearness,Net,PV,Solar,Sun,Sun,Vector,,vCumulativeRadiationArray,,,
,Direct,Diffuse,Reflected,Clear Sky,Index,Radiation,Output,Angle,Elevation,Azimuth,Dot Product,,Column 1,Column 2,Column 3,Column 4
Minute,,,,,,,,,,,,,,,,
164,0,0,0,0,1,0,0,142.92384064920896,-48.31430446967627,121.87659655437054,-0.7978348533037095,,0,0,,2.916782421631228
165,0,0,0,0,1,0,0,142.69606307047638,-48.18776691615951,121.58801079731356,-0.7954318400703432,,0,0,,2.904442544956367
166,0,0,0,0,1,0,0,142.46820679891417,-48.06083758944865,121.30052512435043,-0.7930154188626451,,0,0,,2.892102668281506
167,0,0,0,0,1,0,0,142.24027378098637,-47.93352117016719,121.01413195010363,-0.7905856356857925,,0,0,,2.879762791606645
168,0,0,0,0,1,0,0,142.01226592164824,-47.80582230198878,120.72882367714331,-0.7881425367993545,,0,0,,2.867422914931784
169,0,0,0,0,1,0,0,141.78418508557675,-47.677745591799024,120.4445926979538,-0.7856861687164122,,0,0,,2.855083038256923
170,0,0,0,0,0.95,0,0,141.55603309835885,-47.54929560986454,120.16143139684323,-0.7832165782026729,,0,0,,2.843993161582062
171,0,0,0,0,1,0,0,141.32781174764037,-47.42047689000911,119.87933215179646,-0.7807338122755803,,0,0,,2.831653284907201
172,0,0,0,0,1,0,0,141.09952278423685,-47.29129392979648,119.59828733627313,-0.7782379182034188,,0,0,,2.81931340823234
173,0,0,0,0,0.98,0,0,140.87116792320728,-47.16175119071921,119.31828932095112,-0.7757289435044141,,0,0,,2.8074735315574793
174,0,0,0,0,0.99,0,0,140.64274884489268,-47.03185309839405,119.03933047541678,-0.7732069359458276,,0,0,,2.7953836548826185
175,0,0,0,0,0.97,0,0,140.41426719592073,-46.90160404276272,118.76140316980292,-0.7706719435430476,,0,0,,2.7837937782077575
176,0,0,0,0,1,0,0,140.18572459017759,-46.771008378298376,118.48449977637544,-0.768124014558676,,0,0,,2.7714539015328965
177,0,0,0,0,1,0,0,139.95712260974796,-46.6400704242171,118.20861267106926,-0.7655631975016065,,0,0,,2.7591140248580355
178,0,0,0,0,1,0,0,139.7284628058256,-46.5087944646945,117.93373423497579,-0.7629895411261065,,0,0,,2.7467741481831744
179,0,0,0,0,1,0,0,139.4997466995934,-46.37718474908683,117.65985685578053,-0.7604030944308819,,0,0,,2.7344342715083134
180,0,0,0,0,0.52,0,0,139.27097578307686,-46.24524549215674,117.38697292915487,-0.7578039066581505,,0,0,,2.7340943948334524
181,0,0,0,0,0.44,0,0,139.04215151996914,-46.11298087430286,117.11507486010012,-0.7551920272927001,,0,0,,2.7357545181585916
182,0,0,0,0,0.47,0,0,138.81327534643088,-45.980395041793685,116.84415506424693,-0.752567506060949,,0,0,,2.736664641483731
183,0,0,0,0,0.47,0,0,138.5843486718647,-45.84749210700496,116.5742059691097,-0.7499303929299991,,0,0,,2.73757476480887
184,0,0,0,0,0.3,0,0,138.35537287966508,-45.714276148660524,116.30522001529741,-0.7472807381066825,,0,0,,2.742734888134009
185,0,0,0,0,0.23,0,0,138.12634932794572,-45.580751212076535,116.0371896576822,-0.7446185920366074,,0,0,,2.749645011459148
186,0,0,0,0,0.23,0,0,137.89727935024365,-45.446921309408644,115.77010736652589,-0.7419440054031977,,0,0,,2.756555134784287
187,0,0,0,0,0.23,0,0,137.66816425620226,-45.31279041990206,115.50396562856594,-0.739257029126728,,0,0,,2.763465258109426
188,0,0,0,0,0.23,0,0,137.43900533223294,-45.17836249014424,115.23875694806131,-0.7365577143633533,,0,0,,2.770375381434565
189,0,0,0,0,0.23,0,0,137.20980384215682,-45.043641434320044,114.97447384779956,-0.733846112504135,,0,0,,2.777285504759704
190,0,0,0,0,0.24,0,0,136.9805610278273,-44.908631134469076,114.71110887006613,-0.7311222751740645,,0,0,,2.783945628084843
191,0,0,0,0,0.25,0,0,136.75127810973336,-44.77333544074536,114.4486545775759,-0.7283862542310783,,0,0,,2.790355751409982
192,0,0,0,0,0.24,0,0,136.52195628758523,-44.637758171678506,114.18710355436896,-0.7256381017650709,,0,0,,2.7970158747351213
193,0,0,0,0,0.26,0,0,136.29259674088217,-44.50190311443707,113.92644840667084,-0.7228778700969044,,0,0,,2.80317599806026
